UniProtKB,Symbol,Virus_mimicry,GTEx_medium_TPM_in_lung,Distinct_SLiMs,Biological_process,Molecular_function
P01100,FOS,Nucleocapsid,274.85,13,"aging [GO:0007568]; cellular response to cadmium ion [GO:0071276]; cellular response to calcium ion [GO:0071277]; cellular response to extracellular stimulus [GO:0031668]; cellular response to hormone stimulus [GO:0032870]; cellular response to reactive oxygen species [GO:0034614]; conditioned taste aversion [GO:0001661]; DNA methylation [GO:0006306]; female pregnancy [GO:0007565]; inflammatory response [GO:0006954]; nervous system development [GO:0007399]; positive regulation of neuron death [GO:1901216]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to cAMP [GO:0051591]; response to cold [GO:0009409]; response to corticosterone [GO:0051412]; response to cytokine [GO:0034097]; response to drug [GO:0042493]; response to gravity [GO:0009629]; response to immobilization stress [GO:0035902]; response to light stimulus [GO:0009416]; response to lipopolysaccharide [GO:0032496]; response to muscle stretch [GO:0035994]; response to progesterone [GO:0032570]; response to toxic substance [GO:0009636]; skeletal muscle cell differentiation [GO:0035914]; sleep [GO:0030431]; SMAD protein signal transduction [GO:0060395]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]","chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; R-SMAD binding [GO:0070412]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]"
Q9Y4B5,MTCL1,Nucleocapsid,1.66,13,establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; microtubule bundle formation [GO:0001578]; positive regulation of microtubule motor activity [GO:2000576]; positive regulation of protein targeting to membrane [GO:0090314]; regulation of autophagy [GO:0010506],microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]
Q9NZB2,FAM120A,Nucleocapsid,58.66,13,N/A,RNA binding [GO:0003723]
Q9H0W8,SMG9,Nucleocapsid,14.87,13,"brain development [GO:0007420]; eye development [GO:0001654]; heart development [GO:0007507]; in utero embryonic development [GO:0001701]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]",identical protein binding [GO:0042802]
Q9NZQ3,NCKIPSD,Nucleocapsid,29.25,13,cytoskeleton organization [GO:0007010]; endocytosis [GO:0006897]; positive regulation of neuron projection development [GO:0010976],Arp2/3 complex binding [GO:0071933]; cytoskeletal protein binding [GO:0008092]; myosin binding [GO:0017022]; SH3 domain binding [GO:0017124]
P42694,HELZ,Nucleocapsid,14.68,13,post-transcriptional gene silencing by RNA [GO:0035194],ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
Q02880,TOP2B,Nucleocapsid,59.54,13,axonogenesis [GO:0007409]; DNA topological change [GO:0006265]; forebrain development [GO:0030900]; neuron migration [GO:0001764]; positive regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045870]; resolution of meiotic recombination intermediates [GO:0000712]; sister chromatid segregation [GO:0000819],"ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; metal ion binding [GO:0046872]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; protein kinase C binding [GO:0005080]"
Q9HCJ0,TNRC6C,Nucleocapsid,7.24,12,"gene silencing by miRNA [GO:0035195]; miRNA mediated inhibition of translation [GO:0035278]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]",RNA binding [GO:0003723]
P46777,RPL5,Nucleocapsid,1178.71,12,cytoplasmic translation [GO:0002181]; negative regulation of protein neddylation [GO:2000435]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; positive regulation of gene expression [GO:0010628]; positive regulation of translation [GO:0045727]; protein stabilization [GO:0050821]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; translation [GO:0006412],5S rRNA binding [GO:0008097]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]; ubiquitin protein ligase binding [GO:0031625]
Q8IXW5,RPAP2,Nucleocapsid,2.51,12,dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; snRNA transcription [GO:0009301],metal ion binding [GO:0046872]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; RNA polymerase core enzyme binding [GO:0043175]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]
Q92793,CREBBP,Nucleocapsid,27.47,12,"cellular response to UV [GO:0034644]; embryonic digit morphogenesis [GO:0042733]; histone acetylation [GO:0016573]; histone glutamine methylation [GO:1990258]; homeostatic process [GO:0042592]; negative regulation of transcription by RNA polymerase II [GO:0000122]; N-terminal peptidyl-lysine acetylation [GO:0018076]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein acetylation [GO:0006473]; protein-containing complex assembly [GO:0065003]; protein destabilization [GO:0031648]; regulation of cellular response to heat [GO:1900034]; regulation of smoothened signaling pathway [GO:0008589]; regulation of transcription, DNA-templated [GO:0006355]; response to hypoxia [GO:0001666]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]",acetyltransferase activity [GO:0016407]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; damaged DNA binding [GO:0003684]; histone acetyltransferase activity [GO:0004402]; MRF binding [GO:0043426]; p53 binding [GO:0002039]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; peptide N-acetyltransferase activity [GO:0034212]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coactivator activity [GO:0003713]; transcription coactivator binding [GO:0001223]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]
P26583,HMGB2,Nucleocapsid,89.98,12,"cell chemotaxis [GO:0060326]; cellular response to lipopolysaccharide [GO:0071222]; chromatin organization [GO:0006325]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; DNA geometric change [GO:0032392]; DNA topological change [GO:0006265]; double-strand break repair via nonhomologous end joining [GO:0006303]; inflammatory response to antigenic stimulus [GO:0002437]; innate immune response [GO:0045087]; male gonad development [GO:0008584]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleosome assembly [GO:0006334]; positive regulation of DNA binding [GO:0043388]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of megakaryocyte differentiation [GO:0045654]; positive regulation of nuclease activity [GO:0032075]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of neurogenesis [GO:0050767]; regulation of stem cell proliferation [GO:0072091]; regulation of transcription by RNA polymerase II [GO:0006357]; response to lipopolysaccharide [GO:0032496]; response to steroid hormone [GO:0048545]; spermatid nucleus differentiation [GO:0007289]; V(D)J recombination [GO:0033151]","chemoattractant activity [GO:0042056]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; double-stranded DNA binding [GO:0003690]; four-way junction DNA binding [GO:0000400]; non-sequence-specific DNA binding, bending [GO:0044378]; protein domain specific binding [GO:0019904]; RAGE receptor binding [GO:0050786]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; supercoiled DNA binding [GO:0097100]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]"
O15055,PER2,Nucleocapsid,10.26,12,"circadian regulation of gene expression [GO:0032922]; circadian regulation of translation [GO:0097167]; circadian rhythm [GO:0007623]; entrainment of circadian clock by photoperiod [GO:0043153]; fatty acid metabolic process [GO:0006631]; gluconeogenesis [GO:0006094]; glycogen biosynthetic process [GO:0005978]; histone H3 deacetylation [GO:0070932]; lactate biosynthetic process [GO:0019249]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of fat cell proliferation [GO:0070345]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; positive regulation of cold-induced thermogenesis [GO:0120162]; regulation of cell cycle [GO:0051726]; regulation of circadian rhythm [GO:0042752]; regulation of glutamate uptake involved in transmission of nerve impulse [GO:0051946]; regulation of insulin secretion [GO:0050796]; regulation of neurogenesis [GO:0050767]; regulation of vasoconstriction [GO:0019229]; response to ischemia [GO:0002931]; white fat cell differentiation [GO:0050872]",transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]; transcription corepressor binding [GO:0001222]
Q9H2X6,HIPK2,Nucleocapsid,19.34,12,"adult walking behavior [GO:0007628]; anterior/posterior pattern specification [GO:0009952]; cellular response to hypoxia [GO:0071456]; DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:0006978]; embryonic camera-type eye morphogenesis [GO:0048596]; embryonic retina morphogenesis in camera-type eye [GO:0060059]; erythrocyte differentiation [GO:0030218]; eye development [GO:0001654]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; iris morphogenesis [GO:0061072]; lens induction in camera-type eye [GO:0060235]; modulation by virus of host process [GO:0019048]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; neuron differentiation [GO:0030182]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; PML body organization [GO:0030578]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of JNK cascade [GO:0046330]; positive regulation of protein binding [GO:0032092]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of signal transduction by p53 class mediator [GO:1901796]; retina layer formation [GO:0010842]; SMAD protein signal transduction [GO:0060395]; smoothened signaling pathway [GO:0007224]; transforming growth factor beta receptor signaling pathway [GO:0007179]; voluntary musculoskeletal movement [GO:0050882]",ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; protein tyrosine kinase activity [GO:0004713]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]; virion binding [GO:0046790]
Q14152,EIF3A,Nucleocapsid,81.84,12,formation of cytoplasmic translation initiation complex [GO:0001732]; IRES-dependent viral translational initiation [GO:0075522]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; translational initiation [GO:0006413]; translation reinitiation [GO:0002188]; viral translational termination-reinitiation [GO:0075525],mRNA binding [GO:0003729]; receptor tyrosine kinase binding [GO:0030971]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]; translation initiation factor activity [GO:0003743]
Q9UHB6,LIMA1,Nucleocapsid,73.7,12,actin filament bundle assembly [GO:0051017]; cell migration [GO:0016477]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; intestinal cholesterol absorption [GO:0030299]; negative regulation of actin filament depolymerization [GO:0030835]; ruffle organization [GO:0031529],actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; cadherin binding [GO:0045296]; metal ion binding [GO:0046872]
